#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 28, 2019 - Dec 26, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Saudi Arabia,444,2102,7160,34346
Serbia,733,2521,6568,34160
Greece,572,2471,7430,32935
Myanmar,261,1498,4650,32825
Afghanistan,323,1442,4687,30216
Croatia,354,1317,4936,29962
Papua New Guinea,176,760,2435,29041
Tanzania,557,2258,6589,29014
Finland,414,1914,7134,28781
Congo,257,1032,3457,28767
Nepal,353,1774,5910,27426
Dominican Republic,288,1565,5185,26541
Sudan,850,4083,10125,24853
Trinidad and Tobago,327,1720,5831,24640
Uruguay,98,376,1932,24427
Kyrgyzstan,663,2558,7408,22820
Mongolia,674,2643,7344,22491
Paraguay,134,624,2367,20974
Georgia,282,1186,4129,20876
Niger,312,1452,4832,20686
El Salvador,138,682,5101,20117
Iran (Islamic Republic of),35,199,1411,18730
Norway,288,1197,3808,18660
Chad,142,655,2248,18386
Israel,281,1088,3414,17410
Sri Lanka,253,1207,4144,17338
Armenia,282,1161,3429,16712
Botswana,140,671,2339,16643
Kuwait,241,1042,3102,16396
Lithuania,303,1491,3641,16340
Mauritius,181,893,3113,15899
Lao Peoples Democratic Republic,71,269,1024,15299
Bolivia,130,697,2511,15249
Namibia,190,891,3027,14727
Qatar,183,853,2737,13498
Slovenia,222,1049,3194,13413
Luxembourg,218,754,1695,12451
Cambodia,177,660,1826,12272
Macedonia,209,847,2201,12082
Syrian Arab Republic,180,850,2361,11798
Bahamas,143,802,3029,11745
Denmark,175,836,2696,11687
Equatorial Guinea,11,82,1571,11069
Libyan Arab Jamahiriya,257,722,2141,10824
Swaziland,89,405,1518,9735
Oman,151,692,1995,9607
Guinea-Bissau,87,502,1622,8361
Tajikistan,169,742,2440,8120
Cuba,36,155,432,8119
Bosnia and Herzegovina,156,503,1559,7996
Cyprus,85,400,1432,7851
Fiji,110,492,1883,7789
Reunion,112,489,1456,7372
Central African Republic,140,607,1479,7301
Barbados,89,482,1663,7036
Saint Lucia,43,193,635,7029
Bahrain,101,447,1393,6854
Sierra Leone,161,638,1925,6750
Guyana,89,513,1607,6138
Latvia,123,507,1463,6074
Estonia,114,506,1401,5707
Somalia,113,376,1119,5590
Palestinian Territories,112,392,1035,5546
Lesotho,69,292,890,5139
Martinique,69,296,880,5102
Belize,53,351,1226,4624
South Sudan,85,403,1346,4609
Montenegro,68,392,1355,4451
Malta,67,293,851,4288
Curacao,41,128,570,3951
Sao Tome and Principe,67,300,806,3362
Guam,35,226,705,3307
Grenada,10,88,371,3275
Antigua and Barbuda,31,111,248,3234
Brunei Darussalam,42,181,570,3206
Guadeloupe,41,203,611,3172
Macau SAR of China,38,141,515,2808
Maldives,37,168,581,2636
Turkmenistan,21,81,694,2441
Bhutan,29,170,476,2404
Suriname,56,257,730,2323
Cayman Islands,18,114,413,2069
French Guiana,20,84,332,2017
Saint Vincent and The Grenadines,19,94,392,1990
Iceland,20,138,418,1901
Europe (Unknown Country),21,88,241,1788
Gambia,39,195,558,1739
Mauritania,43,195,597,1679
French Polynesia,19,79,270,1577
Vanuatu,17,82,269,1560
Timor-Leste,28,106,442,1540
Bermuda,12,87,305,1476
New Caledonia,14,63,260,1427
Jersey,33,162,436,1382
Djibouti,21,57,164,1351
Seychelles,13,66,247,1318
US Virgin Islands,23,93,291,1290
Aruba,21,81,241,1288
Dominica,18,96,292,1275
Solomon Islands,14,84,335,1259
Anguilla,21,68,174,1189
Turks and Caicos Islands,16,72,254,1050
Monaco,18,87,274,1024
Samoa,12,56,244,944
Saint Kitts and Nevis,7,49,156,883
Tonga,8,43,174,824
Sint Maarten,7,43,154,702
British Virgin Islands,10,60,186,701
Comoros,3,7,38,639
Isle of Man,10,49,137,638
Northern Mariana Islands,9,40,95,601
Guernsey,5,47,137,505
Gibraltar,7,20,71,436
Faroe Islands,5,35,99,400
Greenland,4,43,124,359
Federated States of Micronesia,3,28,96,354
Palau,3,21,74,336
Bonaire/Sint Eustatius/Saba,2,12,65,303
Saint Martin,5,17,42,206
Andorra,3,8,30,187
Cook Islands,1,8,48,181
Marshall Islands,5,17,41,161
Kiribati,2,8,37,151
Liechtenstein,2,9,35,142
Mayotte,3,11,26,88
Nauru,1,6,30,85
Eritrea,2,4,11,52
Holy See (Vatican City State),0,2,8,46
San Marino,1,2,5,41
Aland Islands,0,3,6,36
St. Pierre and Miquelon,2,5,9,30
Falkland Islands (Malvinas),1,3,5,28
Wallis and Futuna Islands,0,4,8,27
American Samoa,1,1,8,22
Tuvalu,0,1,5,19
British Indian Ocean Territory,0,2,5,15
Montserrat,0,0,2,12
Niue,0,0,1,9
Norfolk Island,0,0,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,0,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,0,1


