#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 18, 2019 - Dec 16, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Sint Maarten,12,60,164,701
British Virgin Islands,22,54,196,698
Comoros,0,12,39,644
Isle of Man,9,48,133,634
Northern Mariana Islands,9,37,105,598
Guernsey,12,48,141,509
Gibraltar,5,21,72,437
Faroe Islands,5,34,97,407
Federated States of Micronesia,7,40,100,368
Greenland,17,46,122,359
Palau,6,27,75,335
Bonaire/Sint Eustatius/Saba,3,20,67,309
Saint Martin,1,19,38,209
Andorra,2,6,27,192
Cook Islands,1,17,55,180
Marshall Islands,5,17,41,157
Kiribati,2,10,44,152
Liechtenstein,3,6,35,139
Mayotte,2,8,25,87
Nauru,4,6,30,84
Eritrea,0,3,11,52
Holy See (Vatican City State),0,2,8,45
San Marino,0,1,4,44
Aland Islands,0,3,6,37
Falkland Islands (Malvinas),0,3,5,29
St. Pierre and Miquelon,0,3,7,28
Wallis and Futuna Islands,0,3,7,26
American Samoa,0,2,9,21
Tuvalu,0,0,5,18
British Indian Ocean Territory,1,2,6,15
Montserrat,0,1,3,13
Niue,0,0,1,10
Norfolk Island,0,1,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,0,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,0,1


