#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 23, 2019 - Dec 21, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Iran (Islamic Republic of),39,201,1401,18913
Norway,271,1251,3812,18774
Israel,276,1110,3423,17561
Sri Lanka,251,1200,4137,17416
Armenia,316,1205,3444,16722
Botswana,139,709,2364,16713
Kuwait,253,1048,3089,16439
Lithuania,457,1562,3600,16412
Mauritius,208,951,3152,15926
Lao Peoples Democratic Republic,84,294,1028,15455
Bolivia,141,782,2597,15398
Namibia,223,927,3105,14746
Qatar,191,898,2762,13575
Slovenia,245,1160,3225,13489
Luxembourg,166,691,1614,12536
Cambodia,163,672,1816,12287
Macedonia,188,833,2166,12083
Syrian Arab Republic,220,859,2402,11824
Bahamas,175,903,3094,11767
Denmark,214,866,2700,11762
Equatorial Guinea,16,91,1706,11253
Libyan Arab Jamahiriya,274,608,2050,10782
Swaziland,98,431,1526,9771
Oman,150,705,2005,9593
Guinea-Bissau,120,495,1649,8388
Cuba,40,147,432,8257
Tajikistan,179,782,2457,8167
Bosnia and Herzegovina,83,476,1506,7998
Cyprus,89,424,1464,7916
Fiji,109,544,1933,7789
Central African Republic,122,597,1448,7515
Reunion,129,492,1443,7420
Sierra Leone,165,622,1908,7160
Saint Lucia,50,211,648,7079
Barbados,110,522,1718,7048
Bahrain,100,471,1406,6888
Guyana,129,563,1635,6136
Latvia,107,514,1456,6078
Estonia,137,518,1397,5755
Somalia,103,373,1118,5629
Palestinian Territories,107,393,1029,5551
Lesotho,69,291,882,5157
Martinique,63,300,877,5145
Belize,75,395,1247,4627
South Sudan,89,447,1334,4590
Montenegro,82,375,1356,4448
Malta,66,308,855,4328
Curacao,24,120,580,3979
Sao Tome and Principe,66,285,784,3338
Guam,47,245,725,3316
Grenada,14,108,382,3293
Antigua and Barbuda,27,104,240,3253
Guadeloupe,47,204,614,3223
Brunei Darussalam,51,186,583,3219
Macau SAR of China,27,136,520,2819
Maldives,53,171,596,2657
Turkmenistan,19,76,767,2515
Bhutan,62,180,492,2438
Suriname,55,264,717,2314
Cayman Islands,26,130,430,2076
French Guiana,22,87,337,2034
Saint Vincent and The Grenadines,19,110,396,1993
Iceland,28,145,418,1924
Europe (Unknown Country),18,96,227,1782
Gambia,45,191,561,1725
Mauritania,51,203,595,1672
French Polynesia,16,71,266,1595
Vanuatu,21,92,270,1571
Timor-Leste,16,110,436,1540
Bermuda,17,102,322,1481
Djibouti,11,56,163,1455
New Caledonia,13,65,263,1442
Jersey,34,165,433,1390
Seychelles,19,73,255,1325
Aruba,14,79,237,1286
US Virgin Islands,27,96,291,1284
Dominica,21,100,296,1273
Solomon Islands,19,97,340,1257
Anguilla,17,58,167,1189
Turks and Caicos Islands,14,69,261,1052
Monaco,11,84,269,1010
Samoa,17,68,253,944
Saint Kitts and Nevis,15,58,162,896
Tonga,8,47,176,825
Sint Maarten,8,54,160,705
British Virgin Islands,18,61,198,703
Comoros,3,11,41,641
Isle of Man,13,49,136,638
Northern Mariana Islands,9,36,98,596
Guernsey,8,47,141,509
Gibraltar,1,17,69,430
Faroe Islands,10,36,102,401
Federated States of Micronesia,2,39,98,365
Greenland,12,48,127,359
Palau,8,29,78,338
Bonaire/Sint Eustatius/Saba,3,13,66,306
Saint Martin,3,19,39,205
Andorra,4,9,29,187
Cook Islands,0,11,51,180
Marshall Islands,7,18,42,162
Kiribati,2,8,41,152
Liechtenstein,4,9,34,142
Mayotte,2,9,26,87
Nauru,4,7,29,85
Eritrea,0,3,10,52
Holy See (Vatican City State),1,2,9,46
San Marino,0,1,4,42
Aland Islands,0,3,6,36
St. Pierre and Miquelon,1,4,8,29
Falkland Islands (Malvinas),0,3,4,28
Wallis and Futuna Islands,1,4,8,27
American Samoa,1,2,9,22
Tuvalu,1,1,6,19
British Indian Ocean Territory,0,2,5,15
Montserrat,0,0,2,12
Niue,0,0,1,10
Norfolk Island,0,0,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,0,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,0,1


