#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 20, 2019 - Dec 18, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Europe (Unknown Country),18,99,221,1778
Gambia,50,209,571,1722
Mauritania,48,207,583,1660
French Polynesia,20,73,264,1605
Vanuatu,18,92,267,1566
Timor-Leste,23,119,440,1546
Djibouti,11,56,163,1503
Bermuda,23,106,335,1485
New Caledonia,17,69,268,1448
Jersey,45,166,431,1395
Seychelles,22,80,259,1329
Aruba,10,78,236,1290
US Virgin Islands,22,90,288,1287
Dominica,22,102,299,1277
Solomon Islands,24,102,345,1258
Anguilla,12,52,167,1185
Turks and Caicos Islands,14,72,268,1055
Monaco,14,85,273,1011
Samoa,16,69,262,942
Saint Kitts and Nevis,14,60,160,892
Tonga,18,54,179,830
Sint Maarten,11,53,166,703
British Virgin Islands,20,54,195,698
Comoros,0,11,39,642
Isle of Man,10,48,135,636
Northern Mariana Islands,10,40,103,597
Guernsey,13,51,143,510
Gibraltar,6,20,70,431
Faroe Islands,7,38,99,407
Federated States of Micronesia,4,40,100,368
Greenland,15,48,128,360
Palau,7,27,75,335
Bonaire/Sint Eustatius/Saba,3,17,66,305
Saint Martin,3,19,38,208
Andorra,4,8,29,188
Cook Islands,1,14,53,180
Marshall Islands,5,18,43,159
Kiribati,2,8,43,151
Liechtenstein,3,7,35,140
Mayotte,3,9,26,88
Nauru,5,7,30,85
Eritrea,0,3,10,52
Holy See (Vatican City State),0,1,8,45
San Marino,0,1,4,43
Aland Islands,0,3,6,37
Falkland Islands (Malvinas),0,3,4,29
St. Pierre and Miquelon,0,3,7,28
Wallis and Futuna Islands,1,4,8,27
American Samoa,0,1,9,21
Tuvalu,1,1,6,19
British Indian Ocean Territory,1,2,6,15
Montserrat,0,1,3,13
Niue,0,0,1,10
Norfolk Island,0,1,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,0,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,0,1


