#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 24, 2019 - Dec 22, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Sierra Leone,153,619,1903,7066
Barbados,108,506,1702,7046
Bahrain,102,474,1410,6877
Guyana,125,555,1629,6141
Latvia,106,504,1454,6076
Estonia,139,513,1399,5738
Somalia,99,368,1114,5617
Palestinian Territories,108,393,1031,5554
Lesotho,71,295,885,5157
Martinique,59,297,874,5139
Belize,79,393,1246,4631
South Sudan,88,433,1345,4599
Montenegro,66,382,1359,4450
Malta,66,306,859,4321
Curacao,23,119,577,3973
Sao Tome and Principe,62,292,784,3331
Guam,39,236,719,3315
Grenada,12,99,379,3286
Antigua and Barbuda,32,112,245,3257
Brunei Darussalam,52,189,578,3218
Guadeloupe,47,205,612,3211
Macau SAR of China,26,135,517,2816
Maldives,49,167,591,2651
Turkmenistan,17,76,755,2493
Bhutan,61,177,490,2434
Suriname,57,264,722,2319
Cayman Islands,21,130,426,2075
French Guiana,20,88,336,2032
Saint Vincent and The Grenadines,17,101,391,1992
Iceland,24,142,413,1913
Europe (Unknown Country),17,94,228,1781
Gambia,41,192,557,1726
Mauritania,50,208,597,1673
French Polynesia,21,77,272,1597
Vanuatu,23,89,270,1571
Timor-Leste,19,109,439,1537
Bermuda,14,93,315,1477
New Caledonia,14,61,263,1436
Djibouti,12,55,162,1436
Jersey,34,169,436,1388
Seychelles,18,73,255,1324
US Virgin Islands,26,96,289,1286
Aruba,14,79,237,1285
Dominica,20,101,294,1271
Solomon Islands,20,94,340,1254
Anguilla,20,59,169,1190
Turks and Caicos Islands,15,71,260,1052
Monaco,14,88,270,1014
Samoa,16,60,252,944
Saint Kitts and Nevis,16,55,162,897
Tonga,8,46,176,824
Sint Maarten,10,54,160,707
British Virgin Islands,16,60,195,701
Isle of Man,13,50,135,640
Comoros,3,10,41,640
Northern Mariana Islands,6,35,95,596
Guernsey,7,46,140,508
Gibraltar,2,18,70,431
Faroe Islands,9,36,102,401
Greenland,8,47,127,358
Federated States of Micronesia,2,34,97,358
Palau,6,28,78,337
Bonaire/Sint Eustatius/Saba,3,12,67,306
Saint Martin,4,18,40,206
Andorra,3,9,28,185
Cook Islands,1,10,49,181
Marshall Islands,6,17,42,162
Kiribati,2,9,41,153
Liechtenstein,4,9,34,141
Mayotte,2,9,26,87
Nauru,1,7,29,85
Eritrea,0,3,10,50
Holy See (Vatican City State),1,2,9,46
San Marino,0,1,4,40
Aland Islands,0,3,6,36
St. Pierre and Miquelon,1,4,8,29
Falkland Islands (Malvinas),0,2,4,28
Wallis and Futuna Islands,1,4,8,27
American Samoa,1,2,8,22
Tuvalu,1,1,6,19
British Indian Ocean Territory,0,2,5,15
Montserrat,0,0,2,12
Niue,0,0,1,9
Norfolk Island,0,0,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,0,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,0,1


