#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 29, 2019 - Dec 27, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Georgia,277,1195,4121,20856
Niger,327,1444,4831,20686
El Salvador,132,675,5061,20087
Iran (Islamic Republic of),38,189,1403,18697
Norway,284,1194,3796,18627
Chad,140,643,2239,18243
Israel,280,1103,3408,17381
Sri Lanka,252,1176,4120,17306
Armenia,284,1156,3429,16707
Botswana,141,669,2324,16632
Kuwait,242,1052,3109,16379
Lithuania,287,1501,3646,16337
Mauritius,185,887,3102,15898
Lao Peoples Democratic Republic,63,264,1011,15279
Bolivia,122,683,2500,15210
Namibia,178,891,3009,14712
Qatar,183,842,2729,13481
Slovenia,213,1052,3198,13412
Luxembourg,199,747,1695,12421
Cambodia,165,645,1821,12263
Macedonia,202,843,2202,12081
Syrian Arab Republic,175,850,2369,11794
Bahamas,138,791,3019,11725
Denmark,176,839,2691,11682
Equatorial Guinea,13,84,1550,11044
Libyan Arab Jamahiriya,271,759,2169,10834
Swaziland,86,404,1515,9722
Oman,150,695,1975,9611
Guinea-Bissau,83,486,1611,8351
Tajikistan,174,740,2431,8114
Cuba,35,156,429,8091
Bosnia and Herzegovina,149,499,1558,7992
Cyprus,84,399,1425,7834
Fiji,105,489,1868,7792
Reunion,118,496,1462,7357
Central African Republic,141,602,1467,7255
Barbados,95,489,1667,7041
Saint Lucia,37,192,637,7020
Bahrain,99,446,1388,6839
Sierra Leone,149,636,1931,6678
Guyana,82,502,1603,6126
Latvia,135,523,1468,6080
Estonia,116,514,1414,5713
Somalia,107,372,1123,5580
Palestinian Territories,100,394,1033,5546
Lesotho,68,291,888,5136
Martinique,68,301,878,5092
Belize,55,334,1223,4626
South Sudan,81,393,1344,4608
Montenegro,64,391,1351,4451
Malta,69,300,851,4282
Curacao,40,126,571,3933
Sao Tome and Principe,71,299,804,3358
Guam,37,219,707,3307
Grenada,18,94,378,3275
Antigua and Barbuda,30,113,252,3224
Brunei Darussalam,40,177,567,3209
Guadeloupe,41,201,608,3167
Macau SAR of China,42,144,512,2807
Maldives,38,167,577,2631
Turkmenistan,20,78,662,2425
Bhutan,31,171,481,2405
Suriname,49,251,730,2309
Cayman Islands,19,113,413,2067
French Guiana,21,83,330,2012
Saint Vincent and The Grenadines,18,94,389,1980
Iceland,22,139,420,1900
Europe (Unknown Country),19,90,243,1789
Gambia,43,187,558,1740
Mauritania,40,192,601,1685
French Polynesia,20,79,271,1573
Vanuatu,18,82,265,1560
Timor-Leste,26,103,440,1534
Bermuda,11,87,302,1476
New Caledonia,14,63,256,1424
Jersey,34,163,435,1385
Djibouti,17,55,162,1341
Seychelles,12,63,244,1319
US Virgin Islands,27,99,293,1288
Aruba,23,83,244,1287
Dominica,20,99,292,1278
Solomon Islands,14,83,334,1259
Anguilla,21,66,174,1190
Turks and Caicos Islands,18,75,252,1051
Monaco,17,87,270,1025
Samoa,13,55,244,945
Saint Kitts and Nevis,8,50,155,882
Tonga,8,41,173,823
British Virgin Islands,13,64,190,705
Sint Maarten,5,41,154,701
Comoros,2,7,38,639
Isle of Man,8,48,135,632
Northern Mariana Islands,9,39,94,601
Guernsey,8,48,139,507
Gibraltar,7,20,70,434
Faroe Islands,6,35,100,402
Greenland,4,43,124,359
Federated States of Micronesia,3,28,95,353
Palau,4,22,74,337
Bonaire/Sint Eustatius/Saba,2,12,65,303
Saint Martin,5,15,41,205
Andorra,3,8,30,186
Cook Islands,1,8,47,181
Marshall Islands,4,17,41,161
Kiribati,2,8,37,151
Liechtenstein,3,10,33,142
Mayotte,3,11,25,88
Nauru,1,6,30,85
Eritrea,2,4,11,52
Holy See (Vatican City State),0,2,8,46
San Marino,1,2,5,41
Aland Islands,0,3,6,36
St. Pierre and Miquelon,2,5,9,30
Falkland Islands (Malvinas),1,3,5,28
Wallis and Futuna Islands,0,4,8,27
American Samoa,1,1,8,22
Tuvalu,0,1,5,19
British Indian Ocean Territory,0,2,5,15
Montserrat,0,0,2,11
Niue,0,0,1,9
Norfolk Island,0,0,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,0,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,0,1


