record_id,activitywindow_date_id,source_id,country,value,isOriginal,threshold
,1475,76,PRY,3,1,1
,1475,76,CAF,3,1,1
,1475,76,LBR,0,1,1
,1475,76,MLI,3,1,1
,1475,76,SGP,1,1,1
,1475,76,LUX,3,1,1
,1475,76,CUB,1,1,1
,1475,76,DOM,0,1,1
,1475,76,NAM,0,1,1
,1475,76,RWA,2,1,1
,1475,76,AUT,0,1,1
,1475,76,SLV,0,1,1
,1475,76,SWE,4,1,1
,1475,76,TUR,2,1,1
,1475,76,TTO,0,1,1
,1475,76,BOL,0,1,1
,1475,76,MYS,3,1,1
,1475,76,CUW,0,1,1
,1475,76,IDN,0,1,1
,1475,76,STP,2,1,1
,1475,76,ATG,0,1,1
,1475,76,MDA,2,1,1
,1475,76,GNB,0,1,1
,1475,76,HKG,2,1,1
,1475,76,NOR,1,1,1
,1475,76,LCA,0,1,1
,1475,76,ROU,1,1,1
,1475,76,SDN,3,1,1
,1475,76,MUS,1,1,1
,1475,76,KOR,0,1,1
,1475,76,CHN,0,1,1
,1475,76,KWT,1,1,1
,1475,76,FIN,0,1,1
,1475,76,CZE,0,1,1
,1475,76,FJI,1,1,1
,1475,76,GUF,0,1,1
,1475,76,ISR,0,1,1
,1475,76,TZA,0,1,1
,1475,76,VUT,1,1,1
,1475,76,GUY,0,1,1
,1475,76,ARE,0,1,1
,1475,76,SAU,0,1,1
,1475,76,BHS,0,1,1
,1475,76,ABW,0,1,1
,1475,76,HUN,0,1,1
,1475,76,QAT,0,1,1
,1475,76,BGR,0,1,1
,1475,76,POL,0,1,1
,1475,76,KAZ,2,1,1
,1475,76,MTQ,0,1,1
,1475,76,SRB,0,1,1
,1475,76,GEO,0,1,1
,1475,76,JAM,0,1,1
,1475,76,DNK,0,1,1
,1475,76,GUM,0,1,1
,1475,76,LSO,0,1,1
,1475,76,SLE,0,1,1
,1475,76,SYR,1,1,1
,1475,76,OMN,0,1,1
,1475,76,HRV,0,1,1
,1475,76,SVK,0,1,1
,1475,76,NER,0,1,1
